2024 Rank,Stat Entity Key,Entity *,2024 Company Level Data Data is updated for completed mergers Assets ($000),2024 Company Level Data Data is updated for completed mergers Capital & Surplus ($000),2024 Company Level Data Data is updated for completed mergers National Direct Premiums Written ($000),Market Share (%) 2024,Market Share (%) 2023,Market Share (%) 2022,Direct Premiums Written ($000) 2024,Direct Premiums Written ($000) 2023,Direct Premiums Written ($000) 2022,Adjusted Loss Ratio (%) 2024,Adjusted Loss Ratio (%) 2023,Adjusted Loss Ratio (%) 2022
1,GP4023135,AF Group (SNL P&C Group),8259675.0,1974949.0,2857476.0,20.45,21.33,21.69,217391.0,231100.0,224876.0,46.86,44.44,37.74
2,GP4055530,Travelers (SNL P&C Group),111104687.0,26358372.0,41921555.0,6.96,6.78,7.43,74029.0,73472.0,77035.0,31.93,57.28,38.59
3,GP103647,The Hartford (SNL P&C Group),57692655.0,16575855.0,17421662.0,5.13,5.31,5.09,54499.0,57479.0,52726.0,50.43,33,53.48
4,GP4042156,Zurich (SNL P&C Group),35428758.0,6040232.0,18565277.0,4.41,4.14,4.09,46891.0,44848.0,42395.0,60.97,41.23,28.35
5,GP4086292,Liberty Mutual (SNL P&C Group),122141564.0,32122218.0,44138829.0,4.2,4.62,4.73,44628.0,50047.0,49037.0,44.2,52.62,69.95
6,GP103417,Chubb (SNL P&C Group),100295962.0,20645551.0,33327135.0,3.48,3.07,3.4,36961.0,33261.0,35254.0,23.21,22.01,4.49
7,GP4050625,Michigan Farm Bureau (SNL P&C Group),1983079.0,791546.0,1171309.0,3.04,3.1,3.04,32321.0,33580.0,31486.0,33,28.44,31.31
8,GP111630882,Frankenmuth Insurance (SNL P&C Group),2347953.0,838310.0,1200105.0,3.04,2.95,2.88,32301.0,31907.0,29835.0,32.09,24.09,36.65
9,GP11777,Auto-Owners Insurance (SNL P&C Group),35725080.0,15184465.0,15543155.0,3.02,2.96,2.77,32138.0,32111.0,28692.0,80,26.99,-3.38
10,GP12244,Donegal (SNL P&C Group),2317094.0,661999.0,1177113.0,2.92,2.93,2.96,31000.0,31788.0,30638.0,40.01,37.63,46.41
11,GP103407,Old Republic Insurance (SNL P&C Group),14584901.0,4241683.0,7105341.0,2.14,2.22,1.97,22787.0,24044.0,20432.0,63.31,45.28,54.37
12,GP13125,Amerisure (SNL P&C Group),3670608.0,1213801.0,976841.0,1.98,2.28,2.58,21041.0,24713.0,26711.0,3.08,85.36,6.89
13,GP103343,CNA (SNL P&C Group),50399292.0,11164692.0,14392564.0,1.93,1.61,1.49,20485.0,17482.0,15407.0,48.31,32.67,27.84
14,GP103541,The Hanover Insurance Group (SNL P&C Group),12537558.0,2977486.0,6542050.0,1.83,1.84,2.02,19465.0,19961.0,20935.0,15.14,30.74,63.51
15,C6183,Manufacturing Technology Mutl,68196.0,37850.0,18600.0,1.75,1.8,1.72,18600.0,19484.0,17849.0,56.35,54.32,58.85
16,C894,Hastings Insurance Co.,1072878.0,544254.0,444794.0,1.66,1.76,1.81,17663.0,19122.0,18792.0,35.83,55.29,38.61
17,GP103462,Berkshire Hathaway Inc. (SNL P&C Group),558658056.0,311785248.0,63279827.0,1.66,1.62,1.4,17662.0,17564.0,14540.0,54.25,42.18,23.84
18,GP103330,AIG (SNL P&C Group),61176223.0,16931657.0,16272070.0,1.53,1.52,1.51,16277.0,16492.0,15605.0,97.56,65.71,-45.13
19,GP103424,Great American Insurance (SNL P&C Group),18808585.0,4614158.0,9763603.0,1.49,1.66,1.38,15811.0,18034.0,14307.0,17.85,26.47,26.43
20,C4515,Retailers Insurance Co.,33001.0,12947.0,14536.0,1.28,1.23,1.14,13630.0,13289.0,11825.0,48.88,44.47,45.86
21,GP4053704,ICW (SNL P&C Group),7682502.0,1863900.0,1317059.0,1.24,0.99,0.7,13156.0,10686.0,7250.0,49.5,42.71,101.9
22,GP12296,EMC Insurance (SNL P&C Group),6070947.0,1790946.0,2164804.0,1.22,1.52,1.57,13009.0,16478.0,16253.0,78.82,77.15,48.67
23,GP10268062,AmTrust Financial (SNL P&C Group),12002044.0,2877987.0,6816228.0,1.17,1.06,1.15,12419.0,11491.0,11939.0,41.82,30.76,67.64
24,GP4206506,Auto Club Insurance Association (SNL P&C Group),7597208.0,2478038.0,3975401.0,1.15,1.01,0.95,12262.0,10944.0,9809.0,7.69,25.84,18.95
25,GP4091807,Encova Insurance (SNL P&C Group),6585486.0,2242800.0,1401044.0,1.12,0.76,0.79,11853.0,8193.0,8239.0,154.86,46.74,55.11
26,GP12396,Federated Insurance (SNL P&C Group),11370138.0,5749239.0,2934510.0,1.07,1.09,1.1,11375.0,11783.0,11436.0,37.12,49.74,44.35
27,GP117816537,West Bend Insurance (SNL P&C Group),4699984.0,1628184.0,2247691.0,1.07,0.93,0.85,11337.0,10053.0,8773.0,43.7,31.46,35.29
28,GP19816029,Merfax Financial Group LLC (SNL P&C Group),899493.0,138097.0,1606891.0,0.96,0.0,0.0,10221.0,0.0,0.0,52.85,NM,NM
29,GP103577,Arch Capital (SNL P&C Group),21733568.0,4612068.0,6997218.0,0.92,0.91,0.93,9757.0,9864.0,9661.0,31.56,52.71,44.02
30,GP103262,The Cincinnati Insurance Cos. (SNL P&C Group),24415426.0,8602690.0,8641912.0,0.91,1.03,1.1,9660.0,11198.0,11445.0,11.43,23.18,70.61
31,GP103451,Selective (SNL P&C Group),12357987.0,2902812.0,5319457.0,0.86,0.88,0.85,9144.0,9532.0,8854.0,36.27,29.31,53.33
32,GP4009223,AXA SA (SNL P&C Group),21525932.0,4596524.0,7697206.0,0.84,0.78,0.4,8965.0,8400.0,4197.0,9.03,27.3,-3.03
33,GP4166287,Western National Insurance (SNL P&C Group),3210863.0,1103126.0,1284170.0,0.84,0.68,0.65,8888.0,7346.0,6754.0,28.76,43.15,33.45
34,GP27882089,Sentry (SNL P&C Group),17715972.0,7945857.0,5415924.0,0.83,0.81,0.86,8862.0,8749.0,8900.0,-15.45,99.42,76.14
35,C379,Cherokee Insurance Co.,880181.0,379088.0,284907.0,0.79,0.81,0.79,8393.0,8773.0,8233.0,7.45,72.79,18.15
36,GP4024505,STARR Cos. (SNL P&C Group),11784165.0,3889616.0,7125881.0,0.75,0.78,0.58,8017.0,8455.0,6008.0,41.31,9.16,34.57
37,C3053,Acuity A Mutual Insurance Co.,7426421.0,3229180.0,3100274.0,0.73,0.78,0.78,7761.0,8469.0,8135.0,48.75,120.02,38.31
38,GP103336,W. R. Berkley Corp. (SNL P&C Group),34580095.0,9422952.0,10995657.0,0.69,0.52,0.49,7361.0,5606.0,5049.0,53.09,67.47,60.67
39,GP28956590,SECURA Insurance Companies (SNL P&C Group),2038213.0,707575.0,999586.0,0.65,0.7,0.77,6953.0,7603.0,7947.0,39.21,43.77,140.19
40,C582,RiverStone Intl Ins Inc.,616124.0,188996.0,234532.0,0.64,0.21,0.21,6823.0,2318.0,2148.0,-4.27,-2.99,73.29
41,GP4193513,Nationwide (SNL P&C Group),58034519.0,20931610.0,17693031.0,0.47,0.5,0.43,4982.0,5425.0,4500.0,78.82,16.6,48.34
42,GP100631016,Pie Group Holdings (SNL P&C Group),481485.0,123702.0,397782.0,0.46,0.01,0.0,4855.0,132.0,0.0,46.92,NM,NM
43,GP4051039,Markel (SNL P&C Group),24959870.0,6767679.0,9669062.0,0.44,0.44,0.59,4727.0,4776.0,6135.0,55.81,32.73,27.02
44,GP4021467,QBE (SNL P&C Group),8816350.0,1628044.0,7328585.0,0.39,0.52,0.72,4154.0,5629.0,7514.0,NM,5.49,-0.32
45,C6153,Conifer Insurance Co.,169209.0,33482.0,61788.0,0.37,0.34,0.45,3973.0,3700.0,4660.0,22.6,28.14,43.22
46,GP4090200,Tokio Marine (SNL P&C Group),43481946.0,13419593.0,12660221.0,0.37,0.27,0.3,3935.0,2959.0,3114.0,NM,-27.55,2.77
47,GP13959,State Farm (SNL P&C Group),292487977.0,145222976.0,108976155.0,0.37,0.36,0.35,3930.0,3923.0,3624.0,-15.74,-2.51,19.79
48,GP4064418,ProAssurance Corp. (SNL P&C Group),4949535.0,1513016.0,985506.0,0.35,0.36,0.34,3745.0,3854.0,3548.0,33.14,45.35,32.26
49,GP4056849,FCCI (SNL P&C Group),3009171.0,1007908.0,1229647.0,0.31,0.35,0.37,3294.0,3740.0,3824.0,36.33,18.44,25.89
50,GP20332491,Trean Insurance Group (SNL P&C Group),1300126.0,230600.0,920585.0,0.29,1.41,1.59,3128.0,15296.0,16470.0,21.95,-1.52,23.7
